index,label,split,seed,dataset,forget_per_class
3175,0,forget,1,Mnist,600
26371,0,forget,1,Mnist,600
41609,0,forget,1,Mnist,600
53537,0,forget,1,Mnist,600
15042,0,forget,1,Mnist,600
30565,0,forget,1,Mnist,600
9329,0,forget,1,Mnist,600
4347,0,forget,1,Mnist,600
41987,0,forget,1,Mnist,600
7506,0,forget,1,Mnist,600
30222,0,forget,1,Mnist,600
15566,0,forget,1,Mnist,600
47186,0,forget,1,Mnist,600
1367,0,forget,1,Mnist,600
5808,0,forget,1,Mnist,600
19009,0,forget,1,Mnist,600
38693,0,forget,1,Mnist,600
59784,0,forget,1,Mnist,600
27658,0,forget,1,Mnist,600
22297,0,forget,1,Mnist,600
12351,0,forget,1,Mnist,600
29205,0,forget,1,Mnist,600
51331,0,forget,1,Mnist,600
19969,0,forget,1,Mnist,600
39263,0,forget,1,Mnist,600
5608,0,forget,1,Mnist,600
18750,0,forget,1,Mnist,600
38893,0,forget,1,Mnist,600
28671,0,forget,1,Mnist,600
41989,0,forget,1,Mnist,600
7267,0,forget,1,Mnist,600
23389,0,forget,1,Mnist,600
32605,0,forget,1,Mnist,600
37554,0,forget,1,Mnist,600
44208,0,forget,1,Mnist,600
42170,0,forget,1,Mnist,600
20551,0,forget,1,Mnist,600
42038,0,forget,1,Mnist,600
26436,0,forget,1,Mnist,600
49151,0,forget,1,Mnist,600
13738,0,forget,1,Mnist,600
38335,0,forget,1,Mnist,600
2854,0,forget,1,Mnist,600
16221,0,forget,1,Mnist,600
51148,0,forget,1,Mnist,600
23643,0,forget,1,Mnist,600
42867,0,forget,1,Mnist,600
4931,0,forget,1,Mnist,600
23541,0,forget,1,Mnist,600
22640,0,forget,1,Mnist,600
57176,0,forget,1,Mnist,600
36031,0,forget,1,Mnist,600
56766,0,forget,1,Mnist,600
32609,0,forget,1,Mnist,600
2500,0,forget,1,Mnist,600
37303,0,forget,1,Mnist,600
5196,0,forget,1,Mnist,600
21898,0,forget,1,Mnist,600
11340,0,forget,1,Mnist,600
4415,0,forget,1,Mnist,600
8193,0,forget,1,Mnist,600
7364,0,forget,1,Mnist,600
18113,0,forget,1,Mnist,600
7911,0,forget,1,Mnist,600
42448,0,forget,1,Mnist,600
6987,0,forget,1,Mnist,600
21768,0,forget,1,Mnist,600
41643,0,forget,1,Mnist,600
47166,0,forget,1,Mnist,600
10806,0,forget,1,Mnist,600
818,0,forget,1,Mnist,600
16777,0,forget,1,Mnist,600
38057,0,forget,1,Mnist,600
40850,0,forget,1,Mnist,600
27094,0,forget,1,Mnist,600
52698,0,forget,1,Mnist,600
1796,0,forget,1,Mnist,600
14530,0,forget,1,Mnist,600
21769,0,forget,1,Mnist,600
20463,0,forget,1,Mnist,600
18586,0,forget,1,Mnist,600
43045,0,forget,1,Mnist,600
50281,0,forget,1,Mnist,600
25312,0,forget,1,Mnist,600
13807,0,forget,1,Mnist,600
49389,0,forget,1,Mnist,600
54922,0,forget,1,Mnist,600
50385,0,forget,1,Mnist,600
35853,0,forget,1,Mnist,600
55105,0,forget,1,Mnist,600
26761,0,forget,1,Mnist,600
33641,0,forget,1,Mnist,600
9806,0,forget,1,Mnist,600
36090,0,forget,1,Mnist,600
6461,0,forget,1,Mnist,600
24276,0,forget,1,Mnist,600
11026,0,forget,1,Mnist,600
14445,0,forget,1,Mnist,600
39615,0,forget,1,Mnist,600
39504,0,forget,1,Mnist,600
48187,0,forget,1,Mnist,600
54853,0,forget,1,Mnist,600
246,0,forget,1,Mnist,600
56163,0,forget,1,Mnist,600
4047,0,forget,1,Mnist,600
57068,0,forget,1,Mnist,600
49739,0,forget,1,Mnist,600
38574,0,forget,1,Mnist,600
46292,0,forget,1,Mnist,600
33293,0,forget,1,Mnist,600
29664,0,forget,1,Mnist,600
32905,0,forget,1,Mnist,600
1578,0,forget,1,Mnist,600
57682,0,forget,1,Mnist,600
46723,0,forget,1,Mnist,600
16501,0,forget,1,Mnist,600
1471,0,forget,1,Mnist,600
55817,0,forget,1,Mnist,600
34502,0,forget,1,Mnist,600
55679,0,forget,1,Mnist,600
29409,0,forget,1,Mnist,600
13911,0,forget,1,Mnist,600
27580,0,forget,1,Mnist,600
25214,0,forget,1,Mnist,600
19082,0,forget,1,Mnist,600
44313,0,forget,1,Mnist,600
23741,0,forget,1,Mnist,600
51818,0,forget,1,Mnist,600
19407,0,forget,1,Mnist,600
13366,0,forget,1,Mnist,600
46746,0,forget,1,Mnist,600
45728,0,forget,1,Mnist,600
11231,0,forget,1,Mnist,600
52294,0,forget,1,Mnist,600
31082,0,forget,1,Mnist,600
23809,0,forget,1,Mnist,600
38155,0,forget,1,Mnist,600
2101,0,forget,1,Mnist,600
57601,0,forget,1,Mnist,600
9677,0,forget,1,Mnist,600
9422,0,forget,1,Mnist,600
47696,0,forget,1,Mnist,600
3001,0,forget,1,Mnist,600
41388,0,forget,1,Mnist,600
22111,0,forget,1,Mnist,600
20609,0,forget,1,Mnist,600
13231,0,forget,1,Mnist,600
46010,0,forget,1,Mnist,600
12321,0,forget,1,Mnist,600
453,0,forget,1,Mnist,600
57321,0,forget,1,Mnist,600
42612,0,forget,1,Mnist,600
49815,0,forget,1,Mnist,600
1897,0,forget,1,Mnist,600
24024,0,forget,1,Mnist,600
40390,0,forget,1,Mnist,600
36871,0,forget,1,Mnist,600
22749,0,forget,1,Mnist,600
19584,0,forget,1,Mnist,600
56351,0,forget,1,Mnist,600
49737,0,forget,1,Mnist,600
28993,0,forget,1,Mnist,600
51,0,forget,1,Mnist,600
42324,0,forget,1,Mnist,600
41447,0,forget,1,Mnist,600
2914,0,forget,1,Mnist,600
33330,0,forget,1,Mnist,600
45035,0,forget,1,Mnist,600
58376,0,forget,1,Mnist,600
12337,0,forget,1,Mnist,600
20510,0,forget,1,Mnist,600
31369,0,forget,1,Mnist,600
10488,0,forget,1,Mnist,600
33020,0,forget,1,Mnist,600
15759,0,forget,1,Mnist,600
34086,0,forget,1,Mnist,600
46931,0,forget,1,Mnist,600
33538,0,forget,1,Mnist,600
48963,0,forget,1,Mnist,600
36564,0,forget,1,Mnist,600
7371,0,forget,1,Mnist,600
48218,0,forget,1,Mnist,600
34451,0,forget,1,Mnist,600
16136,0,forget,1,Mnist,600
17693,0,forget,1,Mnist,600
9459,0,forget,1,Mnist,600
6444,0,forget,1,Mnist,600
33163,0,forget,1,Mnist,600
11933,0,forget,1,Mnist,600
9032,0,forget,1,Mnist,600
29750,0,forget,1,Mnist,600
16285,0,forget,1,Mnist,600
19974,0,forget,1,Mnist,600
11615,0,forget,1,Mnist,600
4288,0,forget,1,Mnist,600
12869,0,forget,1,Mnist,600
23793,0,forget,1,Mnist,600
3492,0,forget,1,Mnist,600
43468,0,forget,1,Mnist,600
52995,0,forget,1,Mnist,600
43445,0,forget,1,Mnist,600
28165,0,forget,1,Mnist,600
5615,0,forget,1,Mnist,600
35409,0,forget,1,Mnist,600
3610,0,forget,1,Mnist,600
28305,0,forget,1,Mnist,600
19628,0,forget,1,Mnist,600
50328,0,forget,1,Mnist,600
39029,0,forget,1,Mnist,600
12217,0,forget,1,Mnist,600
9881,0,forget,1,Mnist,600
52716,0,forget,1,Mnist,600
55541,0,forget,1,Mnist,600
37705,0,forget,1,Mnist,600
45676,0,forget,1,Mnist,600
23842,0,forget,1,Mnist,600
7669,0,forget,1,Mnist,600
20471,0,forget,1,Mnist,600
35994,0,forget,1,Mnist,600
16640,0,forget,1,Mnist,600
206,0,forget,1,Mnist,600
54512,0,forget,1,Mnist,600
25676,0,forget,1,Mnist,600
17709,0,forget,1,Mnist,600
29471,0,forget,1,Mnist,600
3248,0,forget,1,Mnist,600
46871,0,forget,1,Mnist,600
18603,0,forget,1,Mnist,600
52831,0,forget,1,Mnist,600
18029,0,forget,1,Mnist,600
47473,0,forget,1,Mnist,600
20801,0,forget,1,Mnist,600
24681,0,forget,1,Mnist,600
5525,0,forget,1,Mnist,600
39968,0,forget,1,Mnist,600
58353,0,forget,1,Mnist,600
2353,0,forget,1,Mnist,600
12259,0,forget,1,Mnist,600
50024,0,forget,1,Mnist,600
23380,0,forget,1,Mnist,600
8000,0,forget,1,Mnist,600
57822,0,forget,1,Mnist,600
51960,0,forget,1,Mnist,600
15910,0,forget,1,Mnist,600
48578,0,forget,1,Mnist,600
2493,0,forget,1,Mnist,600
3849,0,forget,1,Mnist,600
16523,0,forget,1,Mnist,600
16519,0,forget,1,Mnist,600
27466,0,forget,1,Mnist,600
42795,0,forget,1,Mnist,600
19308,0,forget,1,Mnist,600
10705,0,forget,1,Mnist,600
16227,0,forget,1,Mnist,600
24308,0,forget,1,Mnist,600
54356,0,forget,1,Mnist,600
3702,0,forget,1,Mnist,600
48337,0,forget,1,Mnist,600
23813,0,forget,1,Mnist,600
4067,0,forget,1,Mnist,600
33482,0,forget,1,Mnist,600
37510,0,forget,1,Mnist,600
46289,0,forget,1,Mnist,600
41789,0,forget,1,Mnist,600
1195,0,forget,1,Mnist,600
16178,0,forget,1,Mnist,600
56347,0,forget,1,Mnist,600
4608,0,forget,1,Mnist,600
20483,0,forget,1,Mnist,600
23891,0,forget,1,Mnist,600
32097,0,forget,1,Mnist,600
43497,0,forget,1,Mnist,600
47599,0,forget,1,Mnist,600
44314,0,forget,1,Mnist,600
40284,0,forget,1,Mnist,600
59659,0,forget,1,Mnist,600
42230,0,forget,1,Mnist,600
10326,0,forget,1,Mnist,600
40457,0,forget,1,Mnist,600
19770,0,forget,1,Mnist,600
10176,0,forget,1,Mnist,600
6337,0,forget,1,Mnist,600
26840,0,forget,1,Mnist,600
46398,0,forget,1,Mnist,600
27318,0,forget,1,Mnist,600
38816,0,forget,1,Mnist,600
17534,0,forget,1,Mnist,600
54783,0,forget,1,Mnist,600
38614,0,forget,1,Mnist,600
37224,0,forget,1,Mnist,600
19225,0,forget,1,Mnist,600
19744,0,forget,1,Mnist,600
51638,0,forget,1,Mnist,600
48911,0,forget,1,Mnist,600
45905,0,forget,1,Mnist,600
29414,0,forget,1,Mnist,600
27114,0,forget,1,Mnist,600
20205,0,forget,1,Mnist,600
38706,0,forget,1,Mnist,600
6137,0,forget,1,Mnist,600
5801,0,forget,1,Mnist,600
20334,0,forget,1,Mnist,600
